Symbol,cik
aacg,1420529
abat,1576873
abcm,1492074
abl,1814287
ablv,1957489
acax,1897245
acb,1683541
acba,1844389
acdc,1881487
achl,1830749
acic,1401521
aciu,1651625
aclx,1786205
acon,1635077
acrv,1781174
adag,1818838
add,1747661
adea,1803696
adoc,1824884
adse,1879248
adxn,1574232
aehl,1470683
aent,1823584
aezs,1113423
afmd,1608390
afri,1903870
afya,1771007
agae,1708341
agba,1769624
agmh,1705402
ahg,1702318
ahi,1815436
aih,1757143
aimd,1014763
aixi,1935172
akan,1888014
akli,1850266
aktx,1541157
aku,1776197
alar,1725332
albt,1630212
allt,1365767
alnt,46129
alti,1838615
alvo,1898416
alya,1734520
alzn,1677077
amam,1836056
amao,1843656
amli,1699880
angh,1871983
ante,1413745
antx,1880438
any,1591956
aogo,1881741
aonc,1839998
apge,1974640
api,1802883
apm,1734005
aptm,1845550
apwc,1026980
arbb,1930179
arbe,1861841
arbk,1841675
arce,1740594
areb,1648087
argx,1697862
arm,1973239
arqq,1859690
artl,1621221
artna,863110
arvl,1835059
aryd,1838821
asln,1722926
asml,937966
asnd,1612042
asns,1141284
aspa,1854583
aspi,1921865
asst,1920406
asti,1350102
astl,1860805
atat,1853717
atcol,1794846
atha,1620463
athe,1131343
atif,1755058
atlx,1540684
atxg,1650101
audc,1086434
autl,1730463
avta,1068875
awin,1855631
ay,1601072
az,1866030
azn,901832
back,1729944
banl,1914805
baos,1811216
batra,1958140
bcal,1795815
bcan,1888151
bctx,1610820
bdrx,1643918
betr,1835856
bets,1543268
bfrg,1829247
bgc,1094831
bglc,1737523
bhat,1759136
bhrb,1964333
biaf,1712762
bidu,1329099
bili,1723690
biox,1769484
bitf,1812477
bldp,1453015
blrx,1498403
blte,1889109
bmr,1899005
bnmv,1437491
bnox,1191070
bnr,1792267
bnrg,1901215
bntx,1776985
bof,1962481
bon,1816815
bosc,1005516
bown,1973056
bprn,1913971
bpts,1768946
bpypm,1545772
brag,1867834
brea,1939965
brog,1774983
brqs,1650575
brsh,1913210
btbt,1710350
btcy,1630113
btdr,1899123
btm,1901799
btmd,1819253
btog,1735556
bvfl,1302387
bway,1505065
bwmx,1788257
bysi,1677940
bz,1842827
bzun,1625414
caco,1928948
calc,1534133
calt,1795579
camt,1109138
can,1780652
carm,1485003
cart,1579091
casi,1962738
cbio,1124105
cbus,1705843
ccep,1650107
ccg,1965473
ccld,1582982
cclp,1449488
cd,1807192
cdio,1870144
cdro,1866782
ceco,3197
ceg,1868275
cell,1689657
cenn,1707919
cety,1329606
cffe,1839530
cfsb,1879103
cgen,1119774
cgnt,1824814
cgo,1285650
chek,1610590
chi,1171471
chkp,1015922
chnr,793628
chscl,823277
chsn,1825349
chw,1396277
chy,1222719
cigi,913353
ciso,1777319
ciss,1951067
cjet,1957413
cjjd,1856084
clbt,1854587
cleu,1775085
clgn,1631487
clin,1883984
clls,1627281
clmb,945983
clmt,1340122
clps,1724542
clwt,1026662
cmnd,1892500
cmra,1907685
cney,1780785
cntb,1835268
cntg,1757097
cnvs,1173204
cnxa,1674440
coep,1759186
coya,1835022
cplp,1392326
cpop,1807389
cpz,1717457
crdl,1702123
cresw,1034957
crnt,1119769
crvo,1053691
csiq,1375877
cslr,1838987
csq,1275214
cste,1504379
ctcx,1842939
ctnt,1951667
ctrm,1720161
cvac,1809122
cvcy,1127371
cvkd,1937993
cwd,1627282
cxai,1820875
cybr,1598110
cyto,1601936
dada,1793862
dcbo,1829959
dcfc,1862490
ddi,1799567
dfli,1847986
dghi,1854368
dhac,1864531
dkdca,1849380
dkng,1883685
dlo,1846832
dmaq,1857086
dmk,887247
dnth,1690585
dogz,1707303
domh,12239
dooo,1748797
dox,1062579
doyu,1762417
dpro,1786286
drct,1880613
drs,1833756
drts,1871321
drug,1827401
dsgx,1050140
dswl,946936
dtck,1949478
dti,1884516
dune,1817232
duo,1750593
dwac,1849635
ebon,1799290
ecbk,1914605
ecx,1861974
edap,1041934
edbl,1809750
edry,1731388
edtk,1782309
eeiq,1781397
efht,1922858
egio,1391127
eglx,1854233
eh,1759783
ejh,1769768
elbm,1907184
eltk,1024672
eltx,1601485
elut,1708527
elva,1844450
elvn,1672619
elws,1944399
em,1834253
encp,1879373
enlt,1922641
enlv,1596812
epow,1780731
eric,717826
erie,922621
erna,748592
esea,1341170
esgl,1957538
eslt,1027664
evax,1828253
evgn,1574565
evo,1412558
exai,1865408
ezgo,1806904
ezpw,876523
fami,1701261
fanh,1413855
fatp,1865045
faze,1839360
feam,1888654
fgi,1864943
fhlt,1851182
fip,1899883
flgc,1790169
flj,1769256
fmst,1935418
fngr,1602409
forty,1045986
fres,1786511
frgt,1687542
frla,1849294
frln,1810031
frsx,1691221
frza,1901305
fsv,1637810
ftel,1928581
ftlf,1374328
ftre,1965040
futu,1754581
gamb,1839799
game,1714562
gass,1328919
gbnh,1735948
gct,1857816
gctk,1506983
gdc,1641398
gdev,1848739
gdhg,1928340
gds,1526125
gdtc,1873093
gehc,1932393
gen,849399
gene,1166272
genk,1891856
gfai,1804469
gfs,1709048
ggal,1114700
ggr,1886190
ghrs,1855129
gia,1844505
gigm,1105101
gilt,897322
glbe,1835963
glbs,1499780
glli,1888734
glmd,1595353
glng,1207179
glpg,1421876
glst,1922331
gmab,1434265
gmgi,1437925
gnft,1757064
gnlx,1231457
gnta,1838716
gogl,1029145
gp,1584547
gpcr,1888886
gpp,1635650
grab,1855612
grcl,1826492
grfs,1438569
gri,1824293
grin,1725293
grow,754811
grrr,1903145
grvy,1313310
gsd,1843248
gsm,1639877
gsmg,1738758
gsun,1826376
gtec,1735041
gth,1782594
gtim,825324
has,46080
hcm,1648257
heps,1850235
hffg,1680873
hhrs,1946425
hiho,1026785
himx,1342338
hiti,1847409
hive,1720424
hkit,1742341
hlp,1855557
hlvx,1888012
hnvr,1828588
holi,1357450
holo,1841209
hpco,1892480
hryu,1911545
hsai,1861737
hscs,1468492
htht,1483994
htoo,1819794
hubc,1905660
hudi,1791725
huge,1771885
huiz,1778982
hut,1731805
hyw,1785680
ibex,1720420
iccm,1584371
icct,1906133
icg,1895597
iclk,1697818
iclr,1060955
icu,1831868
iep,813762
ifbd,1815566
ifrx,1708688
igic,1794338
iinn,1837493
