cik	ticker	market_cap
320193	aapl	2817132264080
789019	msft	2405014516811
1652044	goog	1661740110000
1652044	googl	1651905090000
1018724	amzn	1373705340979
1045810	nvda	1156824500000
1318605	tsla	758013358609
1089113	hsbc	747546280000
1326801	meta	743858600189
59478	lly	525833582228
1046179	tsm	487491152648
731766	unh	455075188688
1403161	v	453972590084
34088	xom	436988524629
19617	jpm	428821942884
104169	wmt	427406788977
200406	jnj	426984714598
353278	nvo	421777504000
1306965	shel	413676653847
1141391	ma	386193063751
80424	pg	362506545437
1730168	avgo	355355148537
354950	hd	327662134528
1341439	orcl	315030200520
93410	cvx	299151356376
310158	mrk	276412180939
21344	ko	261882321815
1551152	abbv	260220832032
937966	asml	260030475955
77476	pep	248128655133
796343	adbe	243074304000
909832	cost	237611784027
1577552	baba	236664984219
1094517	tm	230442093257
858877	csco	229018268311
70858	bac	228537651760
1114448	nvs	216920790893
97745	tmo	210415956742
63908	mcd	206735616063
1108524	crm	206215280000
78003	pfe	204440196030
1467373	acn	202536115711
313616	dhr	193079077811
1166691	cmcsa	189673611846
1707925	lin	186429476258
1065280	nflx	185261930723
1800	abt	178377446764
1000184	sap	169951275455
2488	amd	165784040302
732717	tbc	165213390000
879764	tte	163931427128
1283699	tmus	159033488216
732717	tbb	158636310000
1744489	dis	153994182882
97476	txn	153173919365
320187	nke	152431071305
1413329	pm	148838857105
896878	intu	145314587954
1090727	ups	145014370490
811809	bhp	141922230632
732712	vz	141045541497
50863	intc	140800560000
1163165	cop	140729103891
1160106	lyg	140399120000
18230	cat	140182221625
895421	ms	139814840020
753308	nee	137653026076
318154	amgn	137228897986
12927	ba	136963398971
100885	unp	136847298516
1121404	sny	135565057905
51143	ibm	133025131165
60667	low	130509639990
14272	bmy	128772304050
217410	ul	128516500000
101829	rtx	124795851299
773840	hon	124745074032
804328	qcom	124634880000
64040	spgi	124234826000
40545	ge	124031578874
1000275	ry	124011118240
896159	cb	122360524286
6951	amat	121648752758
1144967	hdb	117343647073
4962	axp	117236887834
312069	bcs	116203320000
1373715	now	115935240000
315189	de	115720006131
1045609	pld	114558888000
936468	lmt	113908406892
1038683	ryaay	111968712000
829224	sbux	111149616000
947263	td	110349000000
1075531	bkng	109560998979
1613103	mdt	108263348409
316709	schw	107473120308
886982	gs	107462882926
1156039	elv	107080720433
1737806	pdd	106569854115
901832	azn	106323360000
1035267	isrg	105926407419
310764	syk	105696092828
313807	bp	105335558572
8670	adp	104805339859
835403	deo	104428000633
109198	tjx	103753248801
313838	sony	103496999740
732717	t	101587290000
1364742	blk	101376487807
863064	rio	100422144558
67088	mufg	100106039159
1668717	bud	99454200952
1103982	mdlz	97337902104
62709	mmc	96207367797
882095	gild	95992945755
1140625	eqnr	94594850781
1119639	pbr	94570459150
930157	rto	93156910000
875320	vrtx	90746136954
1551182	etn	90269760000
1543151	uber	90221525174
872589	regn	90200353199
6281	adi	89860955685
707549	lrcx	89513744636
1555280	zts	86405727937
64803	cvs	86362986608
1610520	ubs	86257800000
1739940	ci	83333207009
1053507	amt	83054929177
1103838	ibn	82676538267
87347	slb	82187187305
10795	bdx	81680069010
1559720	abnb	81658066595
831001	c	79570026639
885725	bsx	78760569317
764180	mo	78029601040
80661	pgr	77018199035
1900304	hln	76369926980
72971	wfc	76348418378
